role	org	period	summary	relation_key
Founder & CEO	Studio BBB Inc.	2024.08 – Present	Founded an indie game studio as a practice-oriented extension of my HCI interests; led early Unity prototypes and continue to guide sustained production.	studio-bbb
Researcher (M.S. Student)	Digital eXPerience Lab (DXP Lab), Korea University	2024.03 – Present (On Leave)	Conduct HCI/XR research on immersive interaction and emotion-centered interfaces; design user studies and prototype interaction techniques.	
Research Intern	Center of Intelligent & Interactive Robotics, Korea Institute of Science and Technology (KIST)	2022.12 – 2023.02	Assisted research on intuitive XR interfaces for service-robot command under the advisement of Dr. Jung-Min Park.	kist-kips
Teaching Assistant	Sogang University / Korea University	2021 – 2024	Supported programming and AI-related coursework across multiple tracks (C, Java, AI, Big Data) through labs, code feedback, and mentoring.	
Instructor	Gwangyang Jecheol High School / Coding Academy	2022 – Present (Part-time)	Taught game design, programming fundamentals, and creative computing; developed course materials and hands-on projects.	
