title	org	period	summary	link	relation_key
Research Intern	Department of Art & Technology, Sogang University	2023.09 – 2024.02	Contributed to the project "Enhancing Multi-user Coexistence in the Metaverse through Multisensory Interactions" under the guidance of Prof. Jean Ho Chu.		signal-journey
Alumni and Staff, Sogang ICPC Team	Sogang ICPC Team / UCPC	2022.02 – 2023.08	Participated in algorithm study and competitions; served as staff for UCPC 2022 final operations.	https://icpc.team/introduction	
Volunteer Instructor	CJ OliveNetworks (CJ Unit 6th)	2022.03 – 2022.07	Designed and delivered basic coding curriculum for middle-school students and received a team excellence award for curriculum quality.	https://www.instagram.com/cjsw.unit/	
Student Council President	School of Media, Arts and Science C-Section, Sogang University	2018.12 – 2019.12	Led networking events, student welfare initiatives, and branding-related project management.		
